node_id,name,node_type,latitude,longitude,source_id,validation_status,data_status
UTR_NODE_366398236,UTraffic node 366398236,INTERSECTION_OR_GEOMETRY,10.8621761,106.7797520,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398308,UTraffic node 366398308,INTERSECTION_OR_GEOMETRY,10.8634088,106.7600859,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398320,UTraffic node 366398320,INTERSECTION_OR_GEOMETRY,10.8689560,106.7479089,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398379,UTraffic node 366398379,INTERSECTION_OR_GEOMETRY,10.8333810,106.7836486,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398456,UTraffic node 366398456,INTERSECTION_OR_GEOMETRY,10.8736261,106.7294321,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398499,UTraffic node 366398499,INTERSECTION_OR_GEOMETRY,10.8677185,106.7571797,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398701,UTraffic node 366398701,INTERSECTION_OR_GEOMETRY,10.8670529,106.7576518,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398710,UTraffic node 366398710,INTERSECTION_OR_GEOMETRY,10.8784605,106.7312867,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398744,UTraffic node 366398744,INTERSECTION_OR_GEOMETRY,10.8766900,106.7561706,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398876,UTraffic node 366398876,INTERSECTION_OR_GEOMETRY,10.8656547,106.7586380,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366398988,UTraffic node 366398988,INTERSECTION_OR_GEOMETRY,10.8566654,106.7653454,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366399044,UTraffic node 366399044,INTERSECTION_OR_GEOMETRY,10.8719398,106.7400524,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366399268,UTraffic node 366399268,INTERSECTION_OR_GEOMETRY,10.8674624,106.7748408,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366399503,UTraffic node 366399503,INTERSECTION_OR_GEOMETRY,10.8721534,106.7411567,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366399595,UTraffic node 366399595,INTERSECTION_OR_GEOMETRY,10.8670523,106.7287841,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400104,UTraffic node 366400104,INTERSECTION_OR_GEOMETRY,10.8734945,106.7299902,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400110,UTraffic node 366400110,INTERSECTION_OR_GEOMETRY,10.8644685,106.7419747,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400172,UTraffic node 366400172,INTERSECTION_OR_GEOMETRY,10.8542511,106.7693883,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400506,UTraffic node 366400506,INTERSECTION_OR_GEOMETRY,10.8753150,106.7318386,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400520,UTraffic node 366400520,INTERSECTION_OR_GEOMETRY,10.8675290,106.7375063,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400698,UTraffic node 366400698,INTERSECTION_OR_GEOMETRY,10.8448610,106.7293511,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400855,UTraffic node 366400855,INTERSECTION_OR_GEOMETRY,10.8355587,106.7823956,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366400967,UTraffic node 366400967,INTERSECTION_OR_GEOMETRY,10.8329908,106.7778048,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366401264,UTraffic node 366401264,INTERSECTION_OR_GEOMETRY,10.8338902,106.7830746,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366401422,UTraffic node 366401422,INTERSECTION_OR_GEOMETRY,10.8723171,106.7645247,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366401445,UTraffic node 366401445,INTERSECTION_OR_GEOMETRY,10.8355238,106.7456154,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366401589,UTraffic node 366401589,INTERSECTION_OR_GEOMETRY,10.8531807,106.7304453,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366401713,UTraffic node 366401713,INTERSECTION_OR_GEOMETRY,10.8457248,106.7792375,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366402243,UTraffic node 366402243,INTERSECTION_OR_GEOMETRY,10.8538770,106.7731177,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
